3
1.0 0.25 0.25 BAR ||| 1.0 ||| 0.363621405611
0.5 0.5 1.0 BAR ||| 4.0 ||| 0.00695653332324
0.5 0.5 1.0 BAR ||| 0.25 ||| 0.00173914637428
0.5 0.5 1.0 BAR ||| 0.5 ||| 0.295651944499
0.5 0.5 1.0 BAR ||| 3.0 ||| 0.0747825636598
0.5 0.5 1.0 BAR ||| 0.75 ||| 0.00173914637428
0.5 0.5 1.0 BAR ||| 2.0 ||| 0.102608627388
0.5 0.5 1.0 BAR ||| <UNK> ||| 1.73912898299e-08
0.5 1.0 BAR 3.0 BAR ||| 1.5 ||| 0.0909060331913
0.5 1.0 BAR 3.0 BAR ||| 2.0 ||| 0.272716281471
0.5 1.0 BAR 3.0 BAR ||| 1.0 ||| 0.363621405611
0.5 1.0 BAR 3.0 BAR ||| 3.0 ||| 0.272716281471
0.5 1.0 BAR 3.0 BAR ||| <UNK> ||| 9.090512414e-07
1.5 0.25 0.25 BAR ||| 0.5 ||| 0.499983571992
1.5 0.25 0.25 BAR ||| 2.0 ||| 0.142852959327
1.5 0.25 0.25 BAR ||| 1.0 ||| 0.21427908186
1.5 0.25 0.25 BAR ||| 3.0 ||| 0.142852959327
1.5 0.25 0.25 BAR ||| <UNK> ||| 7.14261225329e-07
0.5 0.5 BAR 4.0 BAR ||| 1.0 ||| 0.812476250712
0.5 0.5 BAR 4.0 BAR ||| 2.0 ||| 0.0624987500375
0.5 0.5 BAR 4.0 BAR ||| 0.5 ||| 0.124996875094
0.5 0.5 BAR 4.0 BAR ||| <UNK> ||| 6.24981250562e-07
BAR 0.5 0.5 0.5 ||| 0.25 ||| 0.119850098262
BAR 0.5 0.5 0.5 ||| 0.5 ||| 0.87640372533
BAR 0.5 0.5 0.5 ||| 1.0 ||| 0.00374533371206
BAR 0.5 0.5 0.5 ||| <UNK> ||| 1.87265749274e-08
1.0 0.25 0.25 ||| 0.5 ||| 0.357137091936
1.0 0.25 0.25 ||| 2.0 ||| 0.214282398016
1.0 0.25 0.25 ||| 1.0 ||| 0.428564438895
1.0 0.25 0.25 ||| <UNK> ||| 3.57136734799e-07
BAR 1.5 0.5 1.0 BAR ||| 1.5 ||| 0.0454540082762
BAR 1.5 0.5 1.0 BAR ||| 1.0 ||| 0.363628884461
BAR 1.5 0.5 1.0 BAR ||| 0.5 ||| 0.136361115757
BAR 1.5 0.5 1.0 BAR ||| 3.0 ||| 0.0909075620168
BAR 1.5 0.5 1.0 BAR ||| 2.0 ||| 0.363628884461
BAR 1.5 0.5 1.0 BAR ||| <UNK> ||| 4.54535537406e-07
1.0 BAR 1.0 1.0 ||| 1.5 ||| 0.0234138963454
1.0 BAR 1.0 1.0 ||| 1.0 ||| 0.698640237653
1.0 BAR 1.0 1.0 ||| 0.25 ||| 0.000755294288111
1.0 BAR 1.0 1.0 ||| 0.5 ||| 0.204682712804
1.0 BAR 1.0 1.0 ||| 0.75 ||| 0.00302115449384
1.0 BAR 1.0 1.0 ||| 2.0 ||| 0.0694863871953
1.0 BAR 1.0 1.0 ||| <UNK> ||| 7.55286735243e-09
0.5 1.0 BAR 1.0 ||| 1.0 ||| 0.703179054679
0.5 1.0 BAR 1.0 ||| 0.75 ||| 0.0035335982469
0.5 1.0 BAR 1.0 ||| 0.25 ||| 0.0141342869807
0.5 1.0 BAR 1.0 ||| 0.5 ||| 0.26148369077
0.5 1.0 BAR 1.0 ||| 3.0 ||| 0.0035335982469
0.5 1.0 BAR 1.0 ||| 2.0 ||| 0.0141342869807
0.5 1.0 BAR 1.0 ||| <UNK> ||| 3.53356291127e-08
0.5 0.5 2.0 BAR ||| 1.0 ||| 0.66666394738
0.5 0.5 2.0 BAR ||| 4.0 ||| 0.0087719806092
0.5 0.5 2.0 BAR ||| 0.5 ||| 0.271928767317
0.5 0.5 2.0 BAR ||| 3.0 ||| 0.0175438734995
0.5 0.5 2.0 BAR ||| 2.0 ||| 0.03508765928
0.5 0.5 2.0 BAR ||| <UNK> ||| 8.77189289028e-08
1.5 0.5 BAR 2.0 ||| <UNK> ||| 4.54535537406e-07
1.5 0.5 BAR 2.0 ||| 1.0 ||| 0.772710868127
1.5 0.5 BAR 2.0 ||| 2.0 ||| 0.0454540082762
1.5 0.5 BAR 2.0 ||| 0.5 ||| 0.136361115757
1.5 0.5 BAR 2.0 ||| END ||| 0.0454540082762
1.0 BAR 0.5 1.0 ||| 0.25 ||| 0.142855748315
1.0 BAR 0.5 1.0 ||| 0.5 ||| 0.833324047725
1.0 BAR 0.5 1.0 ||| 1.0 ||| 0.0238094897963
1.0 BAR 0.5 1.0 ||| <UNK> ||| 2.38092517038e-07
BAR 2.0 1.5 0.5 BAR ||| 0.25 ||| 0.333283341332
BAR 2.0 1.5 0.5 BAR ||| 2.0 ||| 0.333283341332
BAR 2.0 1.5 0.5 BAR ||| 0.5 ||| 0.333283341332
BAR 2.0 1.5 0.5 BAR ||| <UNK> ||| 3.33280008532e-06
BAR 2.0 1.0 BAR 3.0 BAR ||| 1.0 ||| 0.521728676967
BAR 2.0 1.0 BAR 3.0 BAR ||| 2.0 ||| 0.347819262902
BAR 2.0 1.0 BAR 3.0 BAR ||| 0.5 ||| 0.0869551418057
BAR 2.0 1.0 BAR 3.0 BAR ||| 3.0 ||| 0.0434777882896
BAR 2.0 1.0 BAR 3.0 BAR ||| <UNK> ||| 4.34773535161e-07
BAR 0.5 0.5 ||| 1.0 ||| 0.555541296677
BAR 0.5 0.5 ||| <UNK> ||| 5.55540741136e-07
BAR 0.5 0.5 ||| 0.5 ||| 0.388879074336
BAR 0.5 0.5 ||| 1.5 ||| 0.0555546296543
0.25 1.0 1.0 ||| 0.5 ||| 0.249997250033
0.25 1.0 1.0 ||| <UNK> ||| 2.49997000036e-07
0.25 1.0 1.0 ||| 1.0 ||| 0.57499335008
0.25 1.0 1.0 ||| 0.75 ||| 0.0249999500006
0.25 1.0 1.0 ||| END ||| 0.149998450019
1.0 BAR 3.0 1.0 BAR ||| 1.5 ||| 0.0701752308411
1.0 BAR 3.0 1.0 BAR ||| 1.0 ||| 0.640348268709
1.0 BAR 3.0 1.0 BAR ||| 0.25 ||| 0.0087719806092
1.0 BAR 3.0 1.0 BAR ||| 0.5 ||| 0.236841195756
1.0 BAR 3.0 1.0 BAR ||| 3.0 ||| 0.0438595521703
1.0 BAR 3.0 1.0 BAR ||| <UNK> ||| 8.77189289028e-08
BAR 0.5 0.25 0.25 ||| 1.0 ||| 0.551721941151
BAR 0.5 0.25 0.25 ||| 0.75 ||| 0.00862074019004
BAR 0.5 0.25 0.25 ||| 0.25 ||| 0.0517240101075
BAR 0.5 0.25 0.25 ||| 0.5 ||| 0.370688207497
BAR 0.5 0.25 0.25 ||| 3.0 ||| 0.00862074019004
BAR 0.5 0.25 0.25 ||| 2.0 ||| 0.00862074019004
BAR 0.5 0.25 0.25 ||| <UNK> ||| 8.6206539835e-08
BAR 1.0 2.0 1.0 BAR ||| 2.0 ||| 0.352931799573
BAR 1.0 2.0 1.0 BAR ||| 1.0 ||| 0.352931799573
BAR 1.0 2.0 1.0 BAR ||| 4.0 ||| 0.0588224567777
BAR 1.0 2.0 1.0 BAR ||| 3.0 ||| 0.235288062455
BAR 1.0 2.0 1.0 BAR ||| <UNK> ||| 5.8821868559e-07
0.5 BAR 4.0 BAR 1.0 ||| 1.0 ||| 0.642835817058
0.5 BAR 4.0 BAR 1.0 ||| 2.0 ||| 0.142852959327
0.5 BAR 4.0 BAR 1.0 ||| 0.5 ||| 0.21427908186
0.5 BAR 4.0 BAR 1.0 ||| <UNK> ||| 7.14261225329e-07
0.25 1.0 2.0 BAR ||| 1.0 ||| 0.666640834367
0.25 1.0 2.0 BAR ||| 2.0 ||| 0.0833308334333
0.25 1.0 2.0 BAR ||| 0.5 ||| 0.0833308334333
0.25 1.0 2.0 BAR ||| 3.0 ||| 0.166660833567
0.25 1.0 2.0 BAR ||| <UNK> ||| 8.33300001333e-07
0.25 0.25 0.5 ||| 1.0 ||| 0.115941698174
0.25 0.25 0.5 ||| 0.25 ||| 0.166666159422
0.25 0.25 0.5 ||| 0.5 ||| 0.63767901387
0.25 0.25 0.5 ||| 0.75 ||| 0.00724642407041
0.25 0.25 0.5 ||| 2.0 ||| 0.0724635885324
0.25 0.25 0.5 ||| <UNK> ||| 7.24635160689e-08
1.0 1.0 BAR 2.0 ||| 1.5 ||| 0.00471701762185
1.0 1.0 BAR 2.0 ||| 1.0 ||| 0.839620787651
1.0 1.0 BAR 2.0 ||| 0.25 ||| 0.00471701762185
1.0 1.0 BAR 2.0 ||| 0.5 ||| 0.0660376334997
1.0 1.0 BAR 2.0 ||| END ||| 0.00943398807399
1.0 1.0 BAR 2.0 ||| 2.0 ||| 0.075471574404
1.0 1.0 BAR 2.0 ||| <UNK> ||| 4.71697045214e-08
BAR 1.0 1.0 1.0 ||| 1.0 ||| 0.764515841155
BAR 1.0 1.0 1.0 ||| 0.25 ||| 0.00161291066597
BAR 1.0 1.0 1.0 ||| 0.5 ||| 0.204032187149
BAR 1.0 1.0 1.0 ||| 0.75 ||| 0.00564516716961
BAR 1.0 1.0 1.0 ||| END ||| 0.0241935470864
BAR 1.0 1.0 1.0 ||| <UNK> ||| 8.06451300729e-09
BAR 0.5 0.5 2.0 BAR ||| 2.0 ||| 0.124993750375
BAR 0.5 0.5 2.0 BAR ||| 0.5 ||| 0.249986250825
BAR 0.5 0.5 2.0 BAR ||| 3.0 ||| 0.624963752175
BAR 0.5 0.5 2.0 BAR ||| <UNK> ||| 1.2499250045e-06
1.0 0.75 0.25 BAR ||| 1.0 ||| 0.15384369827
1.0 0.75 0.25 BAR ||| 4.0 ||| 0.115382869855
1.0 0.75 0.25 BAR ||| 0.5 ||| 0.15384369827
1.0 0.75 0.25 BAR ||| 3.0 ||| 0.230765355101
1.0 0.75 0.25 BAR ||| 2.0 ||| 0.346147840348
1.0 0.75 0.25 BAR ||| <UNK> ||| 3.84608284155e-07
BAR 1.0 2.0 BAR 1.0 ||| 1.0 ||| 0.714238166526
BAR 1.0 2.0 BAR 1.0 ||| <UNK> ||| 1.4284734761e-06
BAR 1.0 2.0 BAR 1.0 ||| 0.5 ||| 0.142848776084
BAR 1.0 2.0 BAR 1.0 ||| 1.5 ||| 0.142848776084
1.0 1.0 1.0 ||| END ||| 0.374978751275
1.0 1.0 1.0 ||| 2.0 ||| 0.124993750375
1.0 1.0 1.0 ||| 1.0 ||| 0.499971251725
1.0 1.0 1.0 ||| <UNK> ||| 1.2499250045e-06
2.0 0.5 0.5 BAR ||| 2.0 ||| 0.2499725033
2.0 0.5 0.5 BAR ||| 1.0 ||| 0.499942506899
2.0 0.5 0.5 BAR ||| 4.0 ||| 0.2499725033
2.0 0.5 0.5 BAR ||| <UNK> ||| 2.499700036e-06
BAR 2.0 1.0 1.0 BAR ||| 1.5 ||| 0.0300428994824
BAR 2.0 1.0 1.0 BAR ||| 1.0 ||| 0.66523472398
BAR 2.0 1.0 1.0 BAR ||| 3.0 ||| 0.0171673895264
BAR 2.0 1.0 1.0 BAR ||| 0.5 ||| 0.244634732083
BAR 2.0 1.0 1.0 BAR ||| 0.75 ||| 0.00429187957038
BAR 2.0 1.0 1.0 BAR ||| 2.0 ||| 0.0386265727865
BAR 2.0 1.0 1.0 BAR ||| <UNK> ||| 4.29183665201e-08
0.25 1.0 0.5 ||| <UNK> ||| 2.63154570679e-07
0.25 1.0 0.5 ||| 0.5 ||| 0.68420214692
0.25 1.0 0.5 ||| 2.0 ||| 0.0263157202225
0.25 1.0 0.5 ||| 1.0 ||| 0.131577548494
0.25 1.0 0.5 ||| 0.25 ||| 0.157893005562
BAR 0.5 1.0 0.5 ||| 1.5 ||| 0.0357141581644
BAR 0.5 1.0 0.5 ||| 1.0 ||| 0.624994821473
BAR 0.5 1.0 0.5 ||| 0.25 ||| 0.0178571683671
BAR 0.5 1.0 0.5 ||| 0.5 ||| 0.160713086745
BAR 0.5 1.0 0.5 ||| 2.0 ||| 0.160713086745
BAR 0.5 1.0 0.5 ||| <UNK> ||| 1.78569897972e-07
0.75 0.25 BAR 0.5 ||| 0.25 ||| 0.166655000933
0.75 0.25 BAR 0.5 ||| 0.5 ||| 0.666615004133
0.75 0.25 BAR 0.5 ||| 1.0 ||| 0.166655000933
0.75 0.25 BAR 0.5 ||| <UNK> ||| 1.666533344e-06
BAR 3.0 BAR 1.0 2.0 BAR ||| 1.5 ||| 0.272716281471
BAR 3.0 BAR 1.0 2.0 BAR ||| 1.0 ||| 0.0909060331913
BAR 3.0 BAR 1.0 2.0 BAR ||| 0.5 ||| 0.363621405611
BAR 3.0 BAR 1.0 2.0 BAR ||| 3.0 ||| 0.181811157331
BAR 3.0 BAR 1.0 2.0 BAR ||| 2.0 ||| 0.0909060331913
BAR 3.0 BAR 1.0 2.0 BAR ||| <UNK> ||| 9.090512414e-07
0.25 0.25 BAR 0.5 ||| 0.25 ||| 0.433326733439
0.25 0.25 BAR 0.5 ||| 0.5 ||| 0.466659533447
0.25 0.25 BAR 0.5 ||| 1.0 ||| 0.0999987333536
0.25 0.25 BAR 0.5 ||| <UNK> ||| 3.33328000085e-07
0.25 1.0 BAR 3.0 ||| 0.5 ||| 0.0909060331913
0.25 1.0 BAR 3.0 ||| 1.0 ||| 0.727241902172
0.25 1.0 BAR 3.0 ||| END ||| 0.181811157331
0.25 1.0 BAR 3.0 ||| <UNK> ||| 9.090512414e-07
0.5 0.5 BAR 2.0 ||| 1.5 ||| 0.0172413941735
0.5 0.5 BAR 2.0 ||| 1.0 ||| 0.801720906672
0.5 0.5 BAR 2.0 ||| 0.5 ||| 0.103447934009
0.5 0.5 BAR 2.0 ||| END ||| 0.043103356124
0.5 0.5 BAR 2.0 ||| 2.0 ||| 0.0344827021405
0.5 0.5 BAR 2.0 ||| <UNK> ||| 8.6206539835e-08
1.0 BAR 2.0 1.0 ||| 1.0 ||| 0.873131275351
1.0 BAR 2.0 1.0 ||| <UNK> ||| 7.46265983525e-08
1.0 BAR 2.0 1.0 ||| 0.5 ||| 0.111939972155
1.0 BAR 2.0 1.0 ||| END ||| 0.0149253942971
0.25 0.25 1.0 ||| 1.0 ||| 0.637581905776
0.25 0.25 1.0 ||| 0.25 ||| 0.0402683937662
0.25 0.25 1.0 ||| 0.5 ||| 0.167784761499
0.25 0.25 1.0 ||| 0.75 ||| 0.00671145488927
0.25 0.25 1.0 ||| END ||| 0.053691169317
0.25 0.25 1.0 ||| 2.0 ||| 0.0939594959694
0.25 0.25 1.0 ||| <UNK> ||| 6.7113877754e-08
BAR 3.0 BAR 3.0 BAR 3.0 BAR ||| 1.5 ||| 0.0526307756436
BAR 3.0 BAR 3.0 BAR 3.0 BAR ||| 2.0 ||| 0.0526307756436
BAR 3.0 BAR 3.0 BAR 3.0 BAR ||| 1.0 ||| 0.263151773008
BAR 3.0 BAR 3.0 BAR 3.0 BAR ||| 3.0 ||| 0.631563518395
BAR 3.0 BAR 3.0 BAR 3.0 BAR ||| <UNK> ||| 5.26302493411e-07
1.0 1.5 0.5 BAR ||| 1.5 ||| 0.0232557869121
1.0 1.5 0.5 BAR ||| 1.0 ||| 0.325577993548
1.0 1.5 0.5 BAR ||| 4.0 ||| 0.0465113412687
1.0 1.5 0.5 BAR ||| 0.25 ||| 0.0232557869121
1.0 1.5 0.5 BAR ||| 0.5 ||| 0.232555776122
1.0 1.5 0.5 BAR ||| 3.0 ||| 0.139533558695
1.0 1.5 0.5 BAR ||| 2.0 ||| 0.209300221765
1.0 1.5 0.5 BAR ||| <UNK> ||| 2.32555543566e-07
1.0 2.0 BAR 1.0 ||| 1.0 ||| 0.840906108826
1.0 2.0 BAR 1.0 ||| 0.5 ||| 0.15151467631
1.0 2.0 BAR 1.0 ||| 0.75 ||| 0.00757580578495
1.0 2.0 BAR 1.0 ||| <UNK> ||| 7.57573002765e-08
1.0 BAR 1.5 0.5 ||| 1.5 ||| 0.0245901491535
1.0 BAR 1.5 0.5 ||| 1.0 ||| 0.688521963192
1.0 BAR 1.5 0.5 ||| 0.5 ||| 0.147540485087
1.0 BAR 1.5 0.5 ||| 0.75 ||| 0.0081967710291
1.0 BAR 1.5 0.5 ||| 2.0 ||| 0.131147106962
1.0 BAR 1.5 0.5 ||| <UNK> ||| 8.19668906221e-08
0.5 0.5 BAR 0.5 ||| 0.5 ||| 0.86666553889
0.5 0.5 BAR 0.5 ||| <UNK> ||| 2.77777407408e-08
0.5 0.5 BAR 0.5 ||| 1.0 ||| 0.0416666388889
0.5 0.5 BAR 0.5 ||| 0.25 ||| 0.0916665722223
0.25 BAR 1.0 1.0 ||| 1.5 ||| 0.444421853057
0.25 BAR 1.0 1.0 ||| 2.0 ||| 0.111106296553
0.25 BAR 1.0 1.0 ||| 1.0 ||| 0.444421853057
0.25 BAR 1.0 1.0 ||| <UNK> ||| 1.11105185501e-06
BAR 2.0 0.5 0.5 BAR ||| 1.0 ||| 0.409082438201
BAR 2.0 0.5 0.5 BAR ||| 2.0 ||| 0.363628884461
BAR 2.0 0.5 0.5 BAR ||| 0.5 ||| 0.181814669498
BAR 2.0 0.5 0.5 BAR ||| 3.0 ||| 0.0454540082762
BAR 2.0 0.5 0.5 BAR ||| <UNK> ||| 4.54535537406e-07
0.5 1.0 1.0 ||| 1.0 ||| 0.73603973782
0.5 1.0 1.0 ||| <UNK> ||| 2.53806797393e-08
0.5 1.0 1.0 ||| 0.5 ||| 0.230964211008
0.5 1.0 1.0 ||| 0.75 ||| 0.0101522972764
0.5 1.0 1.0 ||| END ||| 0.022842637146
1.0 BAR 1.0 2.0 BAR ||| 0.5 ||| 0.0909075620168
1.0 BAR 1.0 2.0 BAR ||| 2.0 ||| 0.409082438201
1.0 BAR 1.0 2.0 BAR ||| 1.0 ||| 0.227268223239
1.0 BAR 1.0 2.0 BAR ||| 3.0 ||| 0.272721776979
1.0 BAR 1.0 2.0 BAR ||| <UNK> ||| 4.54535537406e-07
0.5 0.75 0.25 ||| 0.5 ||| 0.149996900074
0.5 0.75 0.25 ||| 2.0 ||| 0.0499993000168
0.5 0.75 0.25 ||| 1.0 ||| 0.74998250042
0.5 0.75 0.25 ||| 0.75 ||| 0.0499993000168
0.5 0.75 0.25 ||| <UNK> ||| 4.99988000288e-07
0.5 0.5 0.5 BAR ||| <UNK> ||| 2.83285733776e-08
0.5 0.5 0.5 BAR ||| 1.5 ||| 0.0311614590439
0.5 0.5 0.5 BAR ||| 1.0 ||| 0.348441480873
0.5 0.5 0.5 BAR ||| 3.0 ||| 0.0963171778123
0.5 0.5 0.5 BAR ||| 0.25 ||| 0.0113314576796
0.5 0.5 0.5 BAR ||| 0.5 ||| 0.345608623535
0.5 0.5 0.5 BAR ||| 0.75 ||| 0.00566574300409
0.5 0.5 0.5 BAR ||| 2.0 ||| 0.130311465865
0.5 0.5 0.5 BAR ||| 4.0 ||| 0.0311614590439
1.0 2.0 BAR 2.0 ||| 0.5 ||| 0.19999426685
1.0 2.0 BAR 2.0 ||| 2.0 ||| 0.19999426685
1.0 2.0 BAR 2.0 ||| 1.0 ||| 0.59998146726
1.0 2.0 BAR 2.0 ||| <UNK> ||| 6.66645334016e-07
1.0 BAR 3.0 BAR 1.0 ||| 1.0 ||| 0.703691564002
1.0 BAR 3.0 BAR 1.0 ||| 2.0 ||| 0.222218642039
1.0 BAR 3.0 BAR 1.0 ||| 0.5 ||| 0.0740731275888
1.0 BAR 3.0 BAR 1.0 ||| <UNK> ||| 3.70363786125e-07
0.5 1.0 2.0 BAR ||| <UNK> ||| 1.92305917176e-07
0.5 1.0 2.0 BAR ||| 0.5 ||| 0.230767292917
0.5 1.0 2.0 BAR ||| 2.0 ||| 0.0576919674588
0.5 1.0 2.0 BAR ||| 1.0 ||| 0.673070902422
0.5 1.0 2.0 BAR ||| 1.5 ||| 0.0384613757411
2.0 BAR 0.5 0.5 ||| 1.0 ||| 0.560972447966
2.0 BAR 0.5 0.5 ||| <UNK> ||| 1.21950505656e-07
2.0 BAR 0.5 0.5 ||| 0.5 ||| 0.414631841179
2.0 BAR 0.5 0.5 ||| 0.25 ||| 0.0243902230816
0.5 0.5 BAR 1.0 ||| 1.0 ||| 0.590697038292
0.5 0.5 BAR 1.0 ||| 0.25 ||| 0.0093023384532
0.5 0.5 BAR 1.0 ||| 0.5 ||| 0.365115894754
0.5 0.5 BAR 1.0 ||| 0.75 ||| 0.027906968848
0.5 0.5 BAR 1.0 ||| 2.0 ||| 0.00697675965385
0.5 0.5 BAR 1.0 ||| <UNK> ||| 2.32557879935e-08
BAR 1.0 BAR 2.0 ||| 1.0 ||| 0.666632224059
BAR 1.0 BAR 2.0 ||| 0.5 ||| 0.222211482054
BAR 1.0 BAR 2.0 ||| 0.75 ||| 0.111106296553
BAR 1.0 BAR 2.0 ||| <UNK> ||| 1.11105185501e-06
0.5 1.0 BAR 2.0 ||| <UNK> ||| 1.4925266207e-07
0.5 1.0 BAR 2.0 ||| 1.0 ||| 0.761188725812
0.5 1.0 BAR 2.0 ||| 2.0 ||| 0.0597012140809
0.5 1.0 BAR 2.0 ||| 0.5 ||| 0.16417807753
0.5 1.0 BAR 2.0 ||| END ||| 0.0149254154597
BAR ||| 1.5 ||| 0.00859600536939
BAR ||| 1.0 ||| 0.733523375097
BAR ||| 0.5 ||| 0.226360748845
BAR ||| 3.0 ||| 0.0028653542253
BAR ||| 2.0 ||| 0.0286532843737
BAR ||| <UNK> ||| 2.86532557205e-08
0.5 1.0 BAR 3.0 ||| 0.5 ||| 0.147057041548
0.5 1.0 BAR 3.0 ||| 1.0 ||| 0.58822728385
0.5 1.0 BAR 3.0 ||| END ||| 0.264702439495
0.5 1.0 BAR 3.0 ||| <UNK> ||| 2.94113494868e-07
0.5 0.25 0.25 BAR ||| 1.5 ||| 0.0410957571786
0.5 0.25 0.25 BAR ||| 1.0 ||| 0.219176778016
0.5 0.25 0.25 BAR ||| 4.0 ||| 0.0958899174362
0.5 0.25 0.25 BAR ||| 0.5 ||| 0.260272398209
0.5 0.25 0.25 BAR ||| 3.0 ||| 0.109588457501
0.5 0.25 0.25 BAR ||| 2.0 ||| 0.273970938273
0.5 0.25 0.25 BAR ||| <UNK> ||| 1.36985400644e-07
0.25 0.25 BAR 2.0 ||| 1.0 ||| 0.759985808272
0.25 0.25 BAR 2.0 ||| <UNK> ||| 3.99992320147e-07
0.25 0.25 BAR 2.0 ||| 0.5 ||| 0.199996560066
0.25 0.25 BAR 2.0 ||| 1.5 ||| 0.0399996320071
0.5 1.0 0.5 BAR ||| 1.5 ||| 0.0526307756436
0.5 1.0 0.5 BAR ||| 1.0 ||| 0.315782022349
0.5 1.0 0.5 BAR ||| 0.5 ||| 0.263151773008
0.5 1.0 0.5 BAR ||| 3.0 ||| 0.315782022349
0.5 1.0 0.5 BAR ||| 2.0 ||| 0.0526307756436
0.5 1.0 0.5 BAR ||| <UNK> ||| 5.26302493411e-07
BAR 1.0 1.0 ||| 1.0 ||| 0.770485904373
BAR 1.0 1.0 ||| 2.0 ||| 0.0163934775595
BAR 1.0 1.0 ||| 0.5 ||| 0.213113241076
BAR 1.0 1.0 ||| <UNK> ||| 1.63933136264e-07
0.5 1.0 0.5 ||| 1.5 ||| 0.00273226417627
0.5 1.0 0.5 ||| 1.0 ||| 0.0273223958613
0.5 1.0 0.5 ||| 0.25 ||| 0.0491802906925
0.5 1.0 0.5 ||| 0.5 ||| 0.918031610232
0.5 1.0 0.5 ||| 0.75 ||| 0.00273226417627
0.5 1.0 0.5 ||| <UNK> ||| 2.7322368539e-08
