3
F3 E3 F3 BAR ||| F3 ||| 0.0952363945967
E3 F3 G3 ||| <UNK> ||| 8.77189289028e-08
E3 F3 G3 ||| D3 ||| 0.0263157663898
E3 F3 G3 ||| E3 ||| 0.0701752308411
E3 F3 G3 ||| C4 ||| 0.0438595521703
BAR C4 G3 E3 ||| G3 ||| 0.999530225492
BAR C4 G3 E3 ||| <UNK> ||| 9.99520230289e-06
B2 A2 BAR E3 ||| <UNK> ||| 9.99952002304e-07
B2 A2 BAR E3 ||| A3 ||| 0.0999962001824
B2 A2 BAR E3 ||| R ||| 0.0999962001824
B2 A2 BAR E3 ||| E2 ||| 0.0999962001824
B2 A2 BAR E3 ||| A2 ||| 0.0999962001824
B2 A2 BAR E3 ||| E3 ||| 0.499977001104
B2 A2 BAR E3 ||| C4 ||| 0.0999962001824
BAR D4 G3 A3 ||| <UNK> ||| 4.99880028793e-06
BAR D4 G3 A3 ||| B3 ||| 0.999765056386
A3 F4 E4 ||| D4 ||| 0.499942506899
A3 F4 E4 ||| F4 ||| 0.499942506899
A3 F4 E4 ||| <UNK> ||| 2.499700036e-06
BAR F3 BAR C4 C4 ||| <UNK> ||| 9.99520230289e-06
BAR F3 BAR C4 C4 ||| B3 ||| 0.999530225492
BAR A3 F3 D3 ||| E3 ||| 0.999530225492
BAR A3 F3 D3 ||| <UNK> ||| 9.99520230289e-06
C4 BAR F3 BAR E3 BAR ||| E3 ||| 0.999530225492
C4 BAR F3 BAR E3 BAR ||| <UNK> ||| 9.99520230289e-06
C#4 B3 BAR C#4 ||| <UNK> ||| 9.99520230289e-06
C#4 B3 BAR C#4 ||| B3 ||| 0.999530225492
BAR G3 D4 A4 ||| G4 ||| 0.999765056386
BAR G3 D4 A4 ||| <UNK> ||| 4.99880028793e-06
G#3 BAR A3 E4 ||| D4 ||| 0.666563349864
G#3 BAR A3 E4 ||| F4 ||| 0.333283341332
G#3 BAR A3 E4 ||| <UNK> ||| 3.33280008532e-06
B2 BAR C3 F3 BAR ||| <UNK> ||| 9.99520230289e-06
B2 BAR C3 F3 BAR ||| B3 ||| 0.999530225492
B3 E3 B3 BAR ||| E4 ||| 0.749912510499
B3 E3 B3 BAR ||| <UNK> ||| 2.499700036e-06
B3 E3 B3 BAR ||| C4 ||| 0.2499725033
D3 BAR E3 E-3 ||| D3 ||| 0.999530225492
D3 BAR E3 E-3 ||| <UNK> ||| 9.99520230289e-06
A3 A3 G#3 ||| A3 ||| 0.833268338533
A3 A3 G#3 ||| F#3 ||| 0.166655000933
A3 A3 G#3 ||| <UNK> ||| 1.666533344e-06
A3 BAR F#3 E3 ||| F#3 ||| 0.999530225492
A3 BAR F#3 E3 ||| <UNK> ||| 9.99520230289e-06
E3 E4 BAR A4 ||| B4 ||| 0.999530225492
E3 E4 BAR A4 ||| <UNK> ||| 9.99520230289e-06
E4 A3 D4 ||| <UNK> ||| 3.33280008532e-06
E4 A3 D4 ||| C4 ||| 0.999843358396
B3 C4 A3 ||| F3 ||| 0.181815840254
B3 C4 A3 ||| F4 ||| 0.0909080716402
B3 C4 A3 ||| F#3 ||| 0.030302892564
B3 C4 A3 ||| B3 ||| 0.272723608869
B3 C4 A3 ||| D4 ||| 0.333328787945
B3 C4 A3 ||| D3 ||| 0.0606054821021
B3 C4 A3 ||| E3 ||| 0.030302892564
B3 C4 A3 ||| <UNK> ||| 3.03025895381e-07
BAR R E3 A3 ||| G3 ||| 0.999530225492
BAR R E3 A3 ||| <UNK> ||| 9.99520230289e-06
G3 BAR A3 BAR A3 ||| G3 ||| 0.999530225492
G3 BAR A3 BAR A3 ||| <UNK> ||| 9.99520230289e-06
BAR A3 E3 A3 ||| <UNK> ||| 8.33300001333e-07
BAR A3 E3 A3 ||| A3 ||| 0.583310834233
BAR A3 E3 A3 ||| F#3 ||| 0.0833308334333
BAR A3 E3 A3 ||| D4 ||| 0.0833308334333
BAR A3 E3 A3 ||| B3 ||| 0.2499908337
B2 E3 D3 ||| C3 ||| 0.999765056386
B2 E3 D3 ||| <UNK> ||| 4.99880028793e-06
G3 BAR C4 D4 ||| E4 ||| 0.823506748045
G3 BAR C4 D4 ||| <UNK> ||| 5.8821868559e-07
G3 BAR C4 D4 ||| G3 ||| 0.117644325337
G3 BAR C4 D4 ||| C4 ||| 0.0588224567777
BAR B2 G#2 A2 ||| B2 ||| 0.999530225492
BAR B2 G#2 A2 ||| <UNK> ||| 9.99520230289e-06
BAR C#3 D3 C#3 ||| D3 ||| 0.999530225492
BAR C#3 D3 C#3 ||| <UNK> ||| 9.99520230289e-06
BAR R BAR C4 D4 ||| E4 ||| 0.999765056386
BAR R BAR C4 D4 ||| <UNK> ||| 4.99880028793e-06
R BAR R C4 BAR ||| C#4 ||| 0.999530225492
R BAR R C4 BAR ||| <UNK> ||| 9.99520230289e-06
A2 A3 BAR D3 ||| E3 ||| 0.999530225492
A2 A3 BAR D3 ||| <UNK> ||| 9.99520230289e-06
D3 E3 D4 ||| <UNK> ||| 9.99520230289e-06
D3 E3 D4 ||| C4 ||| 0.999530225492
A3 E4 BAR A4 ||| B4 ||| 0.2499725033
A3 E4 BAR A4 ||| E4 ||| 0.499942506899
A3 E4 BAR A4 ||| G#4 ||| 0.2499725033
A3 E4 BAR A4 ||| <UNK> ||| 2.499700036e-06
BAR E3 B3 E3 ||| G#3 ||| 0.666563349864
BAR E3 B3 E3 ||| D4 ||| 0.333283341332
BAR E3 B3 E3 ||| <UNK> ||| 3.33280008532e-06
E3 F#3 BAR G#3 ||| A3 ||| 0.333283341332
E3 F#3 BAR G#3 ||| E3 ||| 0.666563349864
E3 F#3 BAR G#3 ||| <UNK> ||| 3.33280008532e-06
D3 BAR B2 C#3 ||| D#3 ||| 0.999530225492
D3 BAR B2 C#3 ||| <UNK> ||| 9.99520230289e-06
BAR R G4 F#4 BAR ||| G4 ||| 0.999530225492
BAR R G4 F#4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR B3 B2 BAR E3 ||| END ||| 0.999530225492
BAR B3 B2 BAR E3 ||| <UNK> ||| 9.99520230289e-06
F3 G3 F3 ||| E3 ||| 0.999973889585
F3 G3 F3 ||| <UNK> ||| 5.55540741136e-07
BAR G3 C3 F3 BAR ||| F3 ||| 0.999530225492
BAR G3 C3 F3 BAR ||| <UNK> ||| 9.99520230289e-06
D#3 E3 BAR F3 ||| E3 ||| 0.999765056386
D#3 E3 BAR F3 ||| <UNK> ||| 4.99880028793e-06
A3 F#3 D3 ||| G3 ||| 0.999765056386
A3 F#3 D3 ||| <UNK> ||| 4.99880028793e-06
B3 C4 B-3 BAR ||| A3 ||| 0.999530225492
B3 C4 B-3 BAR ||| <UNK> ||| 9.99520230289e-06
G3 F4 BAR E4 ||| D4 ||| 0.999765056386
G3 F4 BAR E4 ||| <UNK> ||| 4.99880028793e-06
C3 BAR B2 C3 ||| F3 ||| 0.0999962001824
C3 BAR B2 C3 ||| G2 ||| 0.0999962001824
C3 BAR B2 C3 ||| B-2 ||| 0.0999962001824
C3 BAR B2 C3 ||| B2 ||| 0.199991400413
C3 BAR B2 C3 ||| D3 ||| 0.499977001104
C3 BAR B2 C3 ||| <UNK> ||| 9.99952002304e-07
BAR A3 R A4 BAR ||| D4 ||| 0.999530225492
BAR A3 R A4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR E4 F#4 D4 BAR ||| G4 ||| 0.999530225492
BAR E4 F#4 D4 BAR ||| <UNK> ||| 9.99520230289e-06
R G#2 BAR A2 ||| E3 ||| 0.999530225492
R G#2 BAR A2 ||| <UNK> ||| 9.99520230289e-06
BAR A3 B3 BAR C4 ||| C#4 ||| 0.0999962001824
BAR A3 B3 BAR C4 ||| A3 ||| 0.0999962001824
BAR A3 B3 BAR C4 ||| B3 ||| 0.499977001104
BAR A3 B3 BAR C4 ||| D4 ||| 0.0999962001824
BAR A3 B3 BAR C4 ||| C4 ||| 0.199991400413
BAR A3 B3 BAR C4 ||| <UNK> ||| 9.99952002304e-07
D#3 E3 C4 BAR ||| <UNK> ||| 9.99520230289e-06
D#3 E3 C4 BAR ||| C4 ||| 0.999530225492
BAR C4 ||| F3 ||| 0.0357141581644
BAR C4 ||| G3 ||| 0.089285127556
BAR C4 ||| B-3 ||| 0.0357141581644
BAR C4 ||| A3 ||| 0.089285127556
BAR C4 ||| B3 ||| 0.464281913298
BAR C4 ||| D4 ||| 0.160713086745
BAR C4 ||| <UNK> ||| 1.78569897972e-07
BAR C4 ||| C4 ||| 0.124999107151
R F2 BAR G2 ||| A2 ||| 0.999530225492
R F2 BAR G2 ||| <UNK> ||| 9.99520230289e-06
B3 A3 BAR D4 ||| G3 ||| 0.142848776084
B3 A3 BAR D4 ||| A3 ||| 0.142848776084
B3 A3 BAR D4 ||| E4 ||| 0.428543471305
B3 A3 BAR D4 ||| C4 ||| 0.142848776084
B3 A3 BAR D4 ||| D3 ||| 0.142848776084
B3 A3 BAR D4 ||| <UNK> ||| 1.4284734761e-06
C4 A3 BAR F#3 ||| G#3 ||| 0.333283341332
C4 A3 BAR F#3 ||| G3 ||| 0.333283341332
C4 A3 BAR F#3 ||| E3 ||| 0.333283341332
C4 A3 BAR F#3 ||| <UNK> ||| 3.33280008532e-06
BAR E3 B3 A3 ||| G#3 ||| 0.999530225492
BAR E3 B3 A3 ||| <UNK> ||| 9.99520230289e-06
G3 BAR A3 G3 ||| F3 ||| 0.615362663532
G3 BAR A3 G3 ||| G3 ||| 0.0769210059936
G3 BAR A3 G3 ||| A3 ||| 0.0769210059936
G3 BAR A3 G3 ||| C3 ||| 0.153841242785
G3 BAR A3 G3 ||| C4 ||| 0.0769210059936
G3 BAR A3 G3 ||| <UNK> ||| 7.69202367913e-07
G#3 A3 G3 BAR ||| F#3 ||| 0.599972201334
G#3 A3 G3 BAR ||| F3 ||| 0.399981800874
G#3 A3 G3 BAR ||| <UNK> ||| 9.99952002304e-07
G#2 A2 E3 BAR ||| A2 ||| 0.999530225492
G#2 A2 E3 BAR ||| <UNK> ||| 9.99520230289e-06
BAR C4 BAR A3 E3 BAR ||| F3 ||| 0.999882514098
BAR C4 BAR A3 E3 BAR ||| <UNK> ||| 2.499700036e-06
BAR D3 G3 D3 ||| D3 ||| 0.999530225492
BAR D3 G3 D3 ||| <UNK> ||| 9.99520230289e-06
F#4 G4 BAR C4 ||| <UNK> ||| 5.8821868559e-07
F#4 G4 BAR C4 ||| G4 ||| 0.235288062455
F#4 G4 BAR C4 ||| D4 ||| 0.52939740525
F#4 G4 BAR C4 ||| R ||| 0.117644325337
F#4 G4 BAR C4 ||| C4 ||| 0.117644325337
BAR C4 BAR C4 ||| G3 ||| 0.0999962001824
BAR C4 BAR C4 ||| A3 ||| 0.0999962001824
BAR C4 BAR C4 ||| B3 ||| 0.199991400413
BAR C4 BAR C4 ||| D4 ||| 0.499977001104
BAR C4 BAR C4 ||| E3 ||| 0.0999962001824
BAR C4 BAR C4 ||| <UNK> ||| 9.99952002304e-07
A3 BAR A3 A#3 ||| <UNK> ||| 9.99520230289e-06
A3 BAR A3 A#3 ||| B3 ||| 0.999530225492
BAR F4 E4 E4 BAR ||| A3 ||| 0.999765056386
BAR F4 E4 E4 BAR ||| <UNK> ||| 4.99880028793e-06
BAR C4 D4 G3 ||| G4 ||| 0.0434777882896
BAR C4 D4 G3 ||| A3 ||| 0.26086455587
BAR C4 D4 G3 ||| B3 ||| 0.0869551418057
BAR C4 D4 G3 ||| E4 ||| 0.0434777882896
BAR C4 D4 G3 ||| C4 ||| 0.565206030483
BAR C4 D4 G3 ||| <UNK> ||| 4.34773535161e-07
D3 BAR A2 B2 ||| C3 ||| 0.999765056386
D3 BAR A2 B2 ||| <UNK> ||| 4.99880028793e-06
A2 F3 E3 BAR ||| D3 ||| 0.999530225492
A2 F3 E3 BAR ||| <UNK> ||| 9.99520230289e-06
B3 C4 BAR C5 ||| B-4 ||| 0.999765056386
B3 C4 BAR C5 ||| <UNK> ||| 4.99880028793e-06
G4 C4 BAR R ||| <UNK> ||| 9.99520230289e-06
G4 C4 BAR R ||| C4 ||| 0.999530225492
D#4 B3 BAR E4 ||| <UNK> ||| 3.33280008532e-06
D#4 B3 BAR E4 ||| E3 ||| 0.666563349864
D#4 B3 BAR E4 ||| C4 ||| 0.333283341332
G#2 A2 D3 ||| E3 ||| 0.999765056386
G#2 A2 D3 ||| <UNK> ||| 4.99880028793e-06
G2 B2 BAR C3 ||| <UNK> ||| 1.99980801843e-06
G2 B2 BAR C3 ||| D3 ||| 0.79992520718
G2 B2 BAR C3 ||| G2 ||| 0.199982801651
D4 BAR A3 R BAR ||| R ||| 0.999530225492
D4 BAR A3 R BAR ||| <UNK> ||| 9.99520230289e-06
E3 BAR B3 B2 ||| E3 ||| 0.999843358396
E3 BAR B3 B2 ||| <UNK> ||| 3.33280008532e-06
F4 G4 C4 ||| D4 ||| 0.333283341332
F4 G4 C4 ||| <UNK> ||| 3.33280008532e-06
F4 G4 C4 ||| G3 ||| 0.333283341332
F4 G4 C4 ||| B3 ||| 0.333283341332
BAR R BAR R C4 BAR ||| G4 ||| 0.124993750375
BAR R BAR R C4 BAR ||| F4 ||| 0.249986250825
BAR R BAR R C4 BAR ||| F3 ||| 0.124993750375
BAR R BAR R C4 BAR ||| B3 ||| 0.249986250825
BAR R BAR R C4 BAR ||| D4 ||| 0.124993750375
BAR R BAR R C4 BAR ||| <UNK> ||| 1.2499250045e-06
BAR R BAR R C4 BAR ||| C4 ||| 0.124993750375
BAR C4 BAR G4 ||| <UNK> ||| 1.99980801843e-06
BAR C4 BAR G4 ||| G4 ||| 0.399963603494
BAR C4 BAR G4 ||| A4 ||| 0.199982801651
BAR C4 BAR G4 ||| C4 ||| 0.399963603494
BAR C3 B2 E3 ||| D3 ||| 0.999530225492
BAR C3 B2 E3 ||| <UNK> ||| 9.99520230289e-06
BAR F#3 G#3 E3 BAR ||| A3 ||| 0.999530225492
BAR F#3 G#3 E3 BAR ||| <UNK> ||| 9.99520230289e-06
E3 A2 D3 BAR ||| G2 ||| 0.999530225492
E3 A2 D3 BAR ||| <UNK> ||| 9.99520230289e-06
B3 B2 BAR E3 ||| END ||| 0.199982801651
B3 B2 BAR E3 ||| A3 ||| 0.199982801651
B3 B2 BAR E3 ||| R ||| 0.199982801651
B3 B2 BAR E3 ||| E4 ||| 0.199982801651
B3 B2 BAR E3 ||| C4 ||| 0.199982801651
B3 B2 BAR E3 ||| <UNK> ||| 1.99980801843e-06
BAR C3 B2 B2 ||| A2 ||| 0.999530225492
BAR C3 B2 B2 ||| <UNK> ||| 9.99520230289e-06
B3 A3 F4 ||| E4 ||| 0.999765056386
B3 A3 F4 ||| <UNK> ||| 4.99880028793e-06
BAR C#4 D#4 E4 ||| F4 ||| 0.199982801651
BAR C#4 D#4 E4 ||| A3 ||| 0.399963603494
BAR C#4 D#4 E4 ||| <UNK> ||| 1.99980801843e-06
BAR C#4 D#4 E4 ||| G3 ||| 0.199982801651
BAR C#4 D#4 E4 ||| C4 ||| 0.199982801651
BAR E3 A2 A3 BAR ||| E3 ||| 0.999530225492
BAR E3 A2 A3 BAR ||| <UNK> ||| 9.99520230289e-06
D3 C3 G3 ||| F#3 ||| 0.142848776084
D3 C3 G3 ||| A3 ||| 0.285696123694
D3 C3 G3 ||| F3 ||| 0.142848776084
D3 C3 G3 ||| B3 ||| 0.142848776084
D3 C3 G3 ||| C3 ||| 0.142848776084
D3 C3 G3 ||| E3 ||| 0.142848776084
D3 C3 G3 ||| <UNK> ||| 1.4284734761e-06
BAR G4 G3 C4 ||| END ||| 0.266658800252
BAR G4 G3 C4 ||| A3 ||| 0.133329733449
BAR G4 G3 C4 ||| R ||| 0.0666652000469
BAR G4 G3 C4 ||| G3 ||| 0.0666652000469
BAR G4 G3 C4 ||| D4 ||| 0.0666652000469
BAR G4 G3 C4 ||| <UNK> ||| 6.66645334016e-07
BAR G4 G3 C4 ||| C5 ||| 0.0666652000469
BAR G4 G3 C4 ||| C4 ||| 0.333323333653
E3 BAR A3 A2 BAR ||| A3 ||| 0.499885027593
E3 BAR A3 A2 BAR ||| B2 ||| 0.499885027593
E3 BAR A3 A2 BAR ||| <UNK> ||| 4.99880028793e-06
BAR D#3 E3 A2 BAR ||| A3 ||| 0.999530225492
BAR D#3 E3 A2 BAR ||| <UNK> ||| 9.99520230289e-06
BAR R E4 BAR A4 ||| E4 ||| 0.999765056386
BAR R E4 BAR A4 ||| <UNK> ||| 4.99880028793e-06
BAR F#3 G#3 A3 ||| F3 ||| 0.0555546296543
BAR F#3 G#3 A3 ||| G3 ||| 0.222216851995
BAR F#3 G#3 A3 ||| D3 ||| 0.111108703768
BAR F#3 G#3 A3 ||| A3 ||| 0.0555546296543
BAR F#3 G#3 A3 ||| A2 ||| 0.111108703768
BAR F#3 G#3 A3 ||| B3 ||| 0.111108703768
BAR F#3 G#3 A3 ||| D#3 ||| 0.111108703768
BAR F#3 G#3 A3 ||| E3 ||| 0.222216851995
BAR F#3 G#3 A3 ||| <UNK> ||| 5.55540741136e-07
F#3 BAR G3 A3 ||| G3 ||| 0.142852959327
F#3 BAR G3 A3 ||| A#3 ||| 0.0714268367942
F#3 BAR G3 A3 ||| B-3 ||| 0.0714268367942
F#3 BAR G3 A3 ||| A3 ||| 0.142852959327
F#3 BAR G3 A3 ||| B3 ||| 0.499983571992
F#3 BAR G3 A3 ||| E3 ||| 0.0714268367942
F#3 BAR G3 A3 ||| <UNK> ||| 7.14261225329e-07
D3 D3 C3 BAR ||| B2 ||| 0.999530225492
D3 D3 C3 BAR ||| <UNK> ||| 9.99520230289e-06
A3 G3 BAR A3 ||| F3 ||| 0.142852959327
A3 G3 BAR A3 ||| B-3 ||| 0.0714268367942
A3 G3 BAR A3 ||| A2 ||| 0.0714268367942
A3 G3 BAR A3 ||| B3 ||| 0.571409694525
A3 G3 BAR A3 ||| D4 ||| 0.0714268367942
A3 G3 BAR A3 ||| D3 ||| 0.0714268367942
A3 G3 BAR A3 ||| <UNK> ||| 7.14261225329e-07
B2 BAR C3 G2 ||| C3 ||| 0.714261939591
B2 BAR C3 G2 ||| C2 ||| 0.0714268367942
B2 BAR C3 G2 ||| A2 ||| 0.21427908186
B2 BAR C3 G2 ||| <UNK> ||| 7.14261225329e-07
F3 A3 BAR D3 ||| G3 ||| 0.999765056386
F3 A3 BAR D3 ||| <UNK> ||| 4.99880028793e-06
C3 F3 C3 BAR ||| C3 ||| 0.599944405337
C3 F3 C3 BAR ||| <UNK> ||| 1.99980801843e-06
C3 F3 C3 BAR ||| C4 ||| 0.399963603494
BAR A3 BAR D4 ||| C#4 ||| 0.333283341332
BAR A3 BAR D4 ||| <UNK> ||| 3.33280008532e-06
BAR A3 BAR D4 ||| B-4 ||| 0.333283341332
BAR A3 BAR D4 ||| C4 ||| 0.333283341332
G4 F#4 G4 BAR ||| <UNK> ||| 1.666533344e-06
G4 F#4 G4 BAR ||| C4 ||| 0.999921672933
E4 E-4 BAR D4 ||| <UNK> ||| 4.99880028793e-06
E4 E-4 BAR D4 ||| D-4 ||| 0.499885027593
E4 E-4 BAR D4 ||| C4 ||| 0.499885027593
BAR D3 C3 F3 ||| C3 ||| 0.571390818915
BAR D3 C3 F3 ||| F#3 ||| 0.142848776084
BAR D3 C3 F3 ||| E3 ||| 0.285696123694
BAR D3 C3 F3 ||| <UNK> ||| 1.4284734761e-06
F3 BAR D3 D#3 ||| E3 ||| 0.999530225492
F3 BAR D3 D#3 ||| <UNK> ||| 9.99520230289e-06
D4 G3 BAR A3 ||| <UNK> ||| 1.666533344e-06
D4 G3 BAR A3 ||| R ||| 0.166655000933
D4 G3 BAR A3 ||| D3 ||| 0.166655000933
D4 G3 BAR A3 ||| B3 ||| 0.666615004133
BAR F#4 E4 D#4 ||| <UNK> ||| 9.99520230289e-06
BAR F#4 E4 D#4 ||| B3 ||| 0.999530225492
C4 D4 D3 ||| G3 ||| 0.666563349864
C4 D4 D3 ||| E3 ||| 0.333283341332
C4 D4 D3 ||| <UNK> ||| 3.33280008532e-06
G3 BAR C4 G4 ||| F4 ||| 0.999765056386
G3 BAR C4 G4 ||| <UNK> ||| 4.99880028793e-06
A3 E3 BAR C3 ||| B2 ||| 0.999530225492
A3 E3 BAR C3 ||| <UNK> ||| 9.99520230289e-06
D2 A2 BAR E3 ||| D3 ||| 0.999530225492
D2 A2 BAR E3 ||| <UNK> ||| 9.99520230289e-06
F3 E3 C3 BAR ||| F3 ||| 0.0909060331913
F3 E3 C3 BAR ||| G3 ||| 0.727241902172
F3 E3 C3 BAR ||| G2 ||| 0.181811157331
F3 E3 C3 BAR ||| <UNK> ||| 9.090512414e-07
BAR F4 D4 E4 ||| A3 ||| 0.333283341332
BAR F4 D4 E4 ||| E3 ||| 0.666563349864
BAR F4 D4 E4 ||| <UNK> ||| 3.33280008532e-06
F3 G3 G4 BAR ||| F#4 ||| 0.999530225492
F3 G3 G4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR A4 F4 G4 ||| G3 ||| 0.999906009023
BAR A4 F4 G4 ||| <UNK> ||| 1.99980801843e-06
E3 C4 C4 BAR ||| G#3 ||| 0.999530225492
E3 C4 C4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR E3 D3 C#3 ||| D3 ||| 0.999882514098
BAR E3 D3 C#3 ||| <UNK> ||| 2.499700036e-06
C3 BAR F3 R ||| C3 ||| 0.999530225492
C3 BAR F3 R ||| <UNK> ||| 9.99520230289e-06
C3 G2 C3 ||| END ||| 0.999530225492
C3 G2 C3 ||| <UNK> ||| 9.99520230289e-06
BAR E3 R D3 BAR ||| A3 ||| 0.999765056386
BAR E3 R D3 BAR ||| <UNK> ||| 4.99880028793e-06
BAR G3 C#3 D3 ||| D4 ||| 0.142848776084
BAR G3 C#3 D3 ||| F3 ||| 0.857085514136
BAR G3 C#3 D3 ||| <UNK> ||| 1.4284734761e-06
G4 BAR C4 A3 ||| E3 ||| 0.999530225492
G4 BAR C4 A3 ||| <UNK> ||| 9.99520230289e-06
BAR C4 D4 C4 ||| B-3 ||| 0.124993750375
BAR C4 D4 C4 ||| <UNK> ||| 1.2499250045e-06
BAR C4 D4 C4 ||| B3 ||| 0.874948753075
A3 BAR D4 G#4 BAR ||| A4 ||| 0.999765056386
A3 BAR D4 G#4 BAR ||| <UNK> ||| 4.99880028793e-06
G3 E3 A3 ||| A3 ||| 0.999530225492
G3 E3 A3 ||| <UNK> ||| 9.99520230289e-06
BAR G3 G3 F#3 BAR ||| G3 ||| 0.999530225492
BAR G3 G3 F#3 BAR ||| <UNK> ||| 9.99520230289e-06
G2 BAR C3 D3 ||| E3 ||| 0.999843358396
G2 BAR C3 D3 ||| <UNK> ||| 3.33280008532e-06
F3 C4 C4 BAR ||| F4 ||| 0.999530225492
F3 C4 C4 BAR ||| <UNK> ||| 9.99520230289e-06
A2 A3 BAR E3 ||| A3 ||| 0.249986250825
A2 A3 BAR E3 ||| F3 ||| 0.499971251725
A2 A3 BAR E3 ||| D3 ||| 0.249986250825
A2 A3 BAR E3 ||| <UNK> ||| 1.2499250045e-06
E2 BAR A2 B2 ||| C3 ||| 0.999765056386
E2 BAR A2 B2 ||| <UNK> ||| 4.99880028793e-06
A3 E3 F3 BAR ||| C3 ||| 0.111108703768
A3 E3 F3 BAR ||| G3 ||| 0.777757593131
A3 E3 F3 BAR ||| C#3 ||| 0.0555546296543
A3 E3 F3 BAR ||| B2 ||| 0.0555546296543
A3 E3 F3 BAR ||| <UNK> ||| 5.55540741136e-07
C4 F4 B3 ||| G3 ||| 0.999530225492
C4 F4 B3 ||| <UNK> ||| 9.99520230289e-06
C3 B2 BAR G2 ||| G2 ||| 0.999530225492
C3 B2 BAR G2 ||| <UNK> ||| 9.99520230289e-06
C3 G3 BAR G3 ||| A3 ||| 0.499885027593
C3 G3 BAR G3 ||| F#3 ||| 0.499885027593
C3 G3 BAR G3 ||| <UNK> ||| 4.99880028793e-06
A2 G2 B2 BAR ||| C3 ||| 0.999530225492
A2 G2 B2 BAR ||| <UNK> ||| 9.99520230289e-06
E4 BAR B3 C4 ||| E4 ||| 0.333283341332
E4 BAR B3 C4 ||| A3 ||| 0.333283341332
E4 BAR B3 C4 ||| D4 ||| 0.333283341332
E4 BAR B3 C4 ||| <UNK> ||| 3.33280008532e-06
A3 F3 G3 BAR ||| C3 ||| 0.79992520718
A3 F3 G3 BAR ||| A3 ||| 0.199982801651
A3 F3 G3 BAR ||| <UNK> ||| 1.99980801843e-06
BAR B3 A3 B3 BAR ||| E3 ||| 0.999530225492
BAR B3 A3 B3 BAR ||| <UNK> ||| 9.99520230289e-06
F#3 G3 F3 BAR ||| E3 ||| 0.999882514098
F#3 G3 F3 BAR ||| <UNK> ||| 2.499700036e-06
BAR B2 C3 F3 ||| <UNK> ||| 9.99520230289e-06
BAR B2 C3 F3 ||| C4 ||| 0.999530225492
G2 BAR R G2 ||| D3 ||| 0.999530225492
G2 BAR R G2 ||| <UNK> ||| 9.99520230289e-06
F#4 G4 D#4 ||| E4 ||| 0.999530225492
F#4 G4 D#4 ||| <UNK> ||| 9.99520230289e-06
F3 C3 BAR D3 ||| E3 ||| 0.999843358396
F3 C3 BAR D3 ||| <UNK> ||| 3.33280008532e-06
BAR A3 A3 D3 ||| A3 ||| 0.333283341332
BAR A3 A3 D3 ||| E3 ||| 0.666563349864
BAR A3 A3 D3 ||| <UNK> ||| 3.33280008532e-06
BAR G3 BAR C4 B-3 ||| A3 ||| 0.999530225492
BAR G3 BAR C4 B-3 ||| <UNK> ||| 9.99520230289e-06
BAR D3 F3 E3 ||| D3 ||| 0.999765056386
BAR D3 F3 E3 ||| <UNK> ||| 4.99880028793e-06
BAR B-2 D3 E-3 ||| E3 ||| 0.999530225492
BAR B-2 D3 E-3 ||| <UNK> ||| 9.99520230289e-06
E3 A3 BAR E4 ||| <UNK> ||| 2.499700036e-06
E3 A3 BAR E4 ||| E3 ||| 0.499942506899
E3 A3 BAR E4 ||| C4 ||| 0.499942506899
BAR A3 E3 F3 ||| F#3 ||| 0.124997916708
BAR A3 E3 F3 ||| G3 ||| 0.583322083558
BAR A3 E3 F3 ||| C3 ||| 0.0833320833583
BAR A3 E3 F3 ||| D3 ||| 0.0416662500083
BAR A3 E3 F3 ||| E3 ||| 0.166663750058
BAR A3 E3 F3 ||| <UNK> ||| 4.166583335e-07
BAR C4 D4 BAR ||| E4 ||| 0.999843358396
BAR C4 D4 BAR ||| <UNK> ||| 3.33280008532e-06
D3 G3 E3 BAR ||| A3 ||| 0.636336778032
D3 G3 E3 BAR ||| F3 ||| 0.272716281471
D3 G3 E3 BAR ||| D3 ||| 0.0909060331913
D3 G3 E3 BAR ||| <UNK> ||| 9.090512414e-07
BAR G4 C4 F4 ||| E4 ||| 0.499885027593
BAR G4 C4 F4 ||| F4 ||| 0.499885027593
BAR G4 C4 F4 ||| <UNK> ||| 4.99880028793e-06
D3 G3 D4 ||| <UNK> ||| 3.33280008532e-06
D3 G3 D4 ||| F#4 ||| 0.333283341332
D3 G3 D4 ||| C4 ||| 0.666563349864
E4 BAR A3 B3 ||| <UNK> ||| 6.24981250562e-07
E4 BAR A3 B3 ||| C4 ||| 0.999970625881
BAR A3 B-3 F3 BAR ||| D3 ||| 0.999530225492
BAR A3 B-3 F3 BAR ||| <UNK> ||| 9.99520230289e-06
E4 C4 F4 ||| <UNK> ||| 8.33300001333e-07
E4 C4 F4 ||| E4 ||| 0.666640834367
E4 C4 F4 ||| C4 ||| 0.0833308334333
E4 C4 F4 ||| G4 ||| 0.166660833567
E4 C4 F4 ||| B3 ||| 0.0833308334333
BAR B3 C4 BAR G3 ||| C3 ||| 0.199982801651
BAR B3 C4 BAR G3 ||| <UNK> ||| 1.99980801843e-06
