3
A4 BAR G4 E4 BAR ||| F4 ||| 0.499885027593
A4 G4 G4 BAR ||| G4 ||| 0.442303801811
A4 G4 G4 BAR ||| F4 ||| 0.096153150894
A4 G4 G4 BAR ||| A4 ||| 0.384612026658
A4 G4 G4 BAR ||| E4 ||| 0.0384613757411
A4 G4 G4 BAR ||| C5 ||| 0.0384613757411
A4 G4 G4 BAR ||| <UNK> ||| 1.92305917176e-07
BAR R BAR R BAR R BAR ||| R ||| 0.882344832833
BAR R BAR R BAR R BAR ||| G4 ||| 0.0196078546712
BAR R BAR R BAR R BAR ||| F4 ||| 0.0196078546712
BAR R BAR R BAR R BAR ||| C5 ||| 0.0784308304549
BAR R BAR R BAR R BAR ||| <UNK> ||| 1.96076585946e-07
B3 D4 C#4 ||| END ||| 0.999843358396
B3 D4 C#4 ||| <UNK> ||| 3.33280008532e-06
B3 BAR G3 G4 ||| B4 ||| 0.999530225492
B3 BAR G3 G4 ||| <UNK> ||| 9.99520230289e-06
B-4 C5 C5 ||| C5 ||| 0.999530225492
B-4 C5 C5 ||| <UNK> ||| 9.99520230289e-06
BAR R BAR R E5 BAR ||| E5 ||| 0.999765056386
BAR R BAR R E5 BAR ||| <UNK> ||| 4.99880028793e-06
B3 B4 A4 ||| G4 ||| 0.999530225492
B3 B4 A4 ||| <UNK> ||| 9.99520230289e-06
G#3 A3 BAR E4 ||| E4 ||| 0.999530225492
G#3 A3 BAR E4 ||| <UNK> ||| 9.99520230289e-06
A4 F#4 G#4 ||| END ||| 0.999530225492
A4 F#4 G#4 ||| <UNK> ||| 9.99520230289e-06
BAR D5 G4 C5 BAR ||| B4 ||| 0.999530225492
BAR D5 G4 C5 BAR ||| <UNK> ||| 9.99520230289e-06
E4 C4 BAR D4 ||| <UNK> ||| 9.99952002304e-07
E4 C4 BAR D4 ||| E4 ||| 0.799962601795
E4 C4 BAR D4 ||| G4 ||| 0.0999962001824
E4 C4 BAR D4 ||| C4 ||| 0.0999962001824
E4 BAR E4 B3 ||| E4 ||| 0.111106296553
E4 BAR E4 B3 ||| A3 ||| 0.111106296553
E4 BAR E4 B3 ||| <UNK> ||| 1.11105185501e-06
E4 BAR E4 B3 ||| C4 ||| 0.77773740956
E4 BAR B3 B3 BAR ||| <UNK> ||| 9.99520230289e-06
E4 BAR B3 B3 BAR ||| C4 ||| 0.999530225492
F#4 BAR G4 E4 ||| C#4 ||| 0.333283341332
F#4 BAR G4 E4 ||| D4 ||| 0.333283341332
F#4 BAR G4 E4 ||| F4 ||| 0.333283341332
F#4 BAR G4 E4 ||| <UNK> ||| 3.33280008532e-06
D4 B4 A4 BAR ||| G4 ||| 0.999530225492
D4 B4 A4 BAR ||| <UNK> ||| 9.99520230289e-06
B4 BAR E4 D#4 ||| E4 ||| 0.999530225492
B4 BAR E4 D#4 ||| <UNK> ||| 9.99520230289e-06
G4 B4 BAR B4 ||| <UNK> ||| 2.499700036e-06
G4 B4 BAR B4 ||| A4 ||| 0.749912510499
G4 B4 BAR B4 ||| G#4 ||| 0.2499725033
BAR E4 G4 C5 ||| B4 ||| 0.666563349864
BAR E4 G4 C5 ||| D5 ||| 0.333283341332
BAR E4 G4 C5 ||| <UNK> ||| 3.33280008532e-06
C4 B-3 C4 BAR ||| D4 ||| 0.999843358396
C4 B-3 C4 BAR ||| <UNK> ||| 3.33280008532e-06
F4 BAR G4 A4 ||| G4 ||| 0.312495625066
F4 BAR G4 A4 ||| F4 ||| 0.0312498437523
F4 BAR G4 A4 ||| B4 ||| 0.312495625066
F4 BAR G4 A4 ||| A4 ||| 0.0624993750094
F4 BAR G4 A4 ||| B-4 ||| 0.124998437523
F4 BAR G4 A4 ||| E4 ||| 0.0624993750094
F4 BAR G4 A4 ||| D4 ||| 0.0312498437523
F4 BAR G4 A4 ||| <UNK> ||| 3.1249531257e-07
F4 BAR G4 A4 ||| C4 ||| 0.0624993750094
A3 BAR G3 C4 ||| <UNK> ||| 9.99520230289e-06
A3 BAR G3 C4 ||| C4 ||| 0.999530225492
B3 D4 C4 BAR ||| <UNK> ||| 4.99880028793e-06
B3 D4 C4 BAR ||| C4 ||| 0.999765056386
C4 B3 G4 BAR ||| G4 ||| 0.666615004133
C4 B3 G4 BAR ||| F4 ||| 0.166655000933
C4 B3 G4 BAR ||| A4 ||| 0.166655000933
C4 B3 G4 BAR ||| <UNK> ||| 1.666533344e-06
E4 BAR F4 B3 BAR ||| A3 ||| 0.333283341332
E4 BAR F4 B3 BAR ||| <UNK> ||| 3.33280008532e-06
E4 BAR F4 B3 BAR ||| C4 ||| 0.666563349864
BAR C4 D4 B3 BAR ||| <UNK> ||| 9.99520230289e-06
BAR C4 D4 B3 BAR ||| C4 ||| 0.999530225492
G4 C5 C5 ||| B4 ||| 0.999882514098
G4 C5 C5 ||| <UNK> ||| 2.499700036e-06
C4 D4 BAR A3 ||| E4 ||| 0.499885027593
C4 D4 BAR A3 ||| A3 ||| 0.499885027593
C4 D4 BAR A3 ||| <UNK> ||| 4.99880028793e-06
A3 C4 BAR G4 ||| G4 ||| 0.999530225492
A3 C4 BAR G4 ||| <UNK> ||| 9.99520230289e-06
C4 C#4 BAR D4 ||| E4 ||| 0.499885027593
C4 C#4 BAR D4 ||| A3 ||| 0.499885027593
C4 C#4 BAR D4 ||| <UNK> ||| 4.99880028793e-06
D4 BAR C4 BAR E4 ||| E4 ||| 0.2499725033
D4 BAR C4 BAR E4 ||| G4 ||| 0.499942506899
D4 BAR C4 BAR E4 ||| C5 ||| 0.2499725033
D4 BAR C4 BAR E4 ||| <UNK> ||| 2.499700036e-06
F#4 G4 A4 BAR ||| G4 ||| 0.666563349864
F#4 G4 A4 BAR ||| B-4 ||| 0.333283341332
F#4 G4 A4 BAR ||| <UNK> ||| 3.33280008532e-06
C4 D4 D4 ||| F4 ||| 0.0624987500375
C4 D4 D4 ||| C#4 ||| 0.0624987500375
C4 D4 D4 ||| A3 ||| 0.0624987500375
C4 D4 D4 ||| D4 ||| 0.18749500015
C4 D4 D4 ||| C4 ||| 0.624981875544
C4 D4 D4 ||| <UNK> ||| 6.24981250562e-07
BAR B3 C4 BAR E4 ||| G4 ||| 0.999530225492
BAR B3 C4 BAR E4 ||| <UNK> ||| 9.99520230289e-06
A4 C5 B4 BAR ||| E5 ||| 0.499885027593
A4 C5 B4 BAR ||| C5 ||| 0.499885027593
A4 C5 B4 BAR ||| <UNK> ||| 4.99880028793e-06
G3 E4 A3 ||| D4 ||| 0.999530225492
G3 E4 A3 ||| <UNK> ||| 9.99520230289e-06
G4 A4 BAR B-4 ||| R ||| 0.2499725033
G4 A4 BAR B-4 ||| A4 ||| 0.749912510499
G4 A4 BAR B-4 ||| <UNK> ||| 2.499700036e-06
BAR F#4 D4 C4 ||| <UNK> ||| 9.99520230289e-06
BAR F#4 D4 C4 ||| B3 ||| 0.999530225492
C#4 BAR A3 B3 BAR ||| <UNK> ||| 9.99520230289e-06
C#4 BAR A3 B3 BAR ||| C4 ||| 0.999530225492
C4 BAR B3 B3 ||| <UNK> ||| 8.33300001333e-07
C4 BAR B3 B3 ||| A3 ||| 0.4999808341
C4 BAR B3 B3 ||| C4 ||| 0.2499908337
C4 BAR B3 B3 ||| E3 ||| 0.0833308334333
C4 BAR B3 B3 ||| B3 ||| 0.166660833567
BAR B4 E5 E5 ||| D5 ||| 0.999530225492
BAR B4 E5 E5 ||| <UNK> ||| 9.99520230289e-06
C4 C4 D4 BAR ||| E4 ||| 0.749985416958
C4 C4 D4 BAR ||| D4 ||| 0.0416662500083
C4 C4 D4 BAR ||| <UNK> ||| 4.166583335e-07
C4 C4 D4 BAR ||| G3 ||| 0.124997916708
C4 C4 D4 BAR ||| C4 ||| 0.0833320833583
C4 B3 E4 BAR ||| G4 ||| 0.0799988640218
C4 B3 E4 BAR ||| A4 ||| 0.0399996320071
C4 B3 E4 BAR ||| E4 ||| 0.559989648199
C4 B3 E4 BAR ||| D4 ||| 0.279995024096
C4 B3 E4 BAR ||| C4 ||| 0.0399996320071
C4 B3 E4 BAR ||| <UNK> ||| 3.99992320147e-07
A4 A4 A4 ||| G4 ||| 0.666615004133
A4 A4 A4 ||| A4 ||| 0.166655000933
A4 A4 A4 ||| C5 ||| 0.166655000933
A4 A4 A4 ||| <UNK> ||| 1.666533344e-06
G4 E4 F4 BAR ||| G4 ||| 0.749912510499
G4 E4 F4 BAR ||| F4 ||| 0.2499725033
G4 E4 F4 BAR ||| <UNK> ||| 2.499700036e-06
BAR E4 F4 BAR E4 BAR ||| E4 ||| 0.999530225492
BAR E4 F4 BAR E4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR B3 D4 C4 ||| A4 ||| 0.999530225492
BAR B3 D4 C4 ||| <UNK> ||| 9.99520230289e-06
A4 B-4 BAR C5 ||| G4 ||| 0.444421853057
A4 B-4 BAR C5 ||| B-4 ||| 0.444421853057
A4 B-4 BAR C5 ||| C5 ||| 0.111106296553
A4 B-4 BAR C5 ||| <UNK> ||| 1.11105185501e-06
BAR D4 B3 B3 BAR ||| <UNK> ||| 9.99520230289e-06
BAR D4 B3 B3 BAR ||| C4 ||| 0.999530225492
BAR G4 B4 C5 BAR ||| <UNK> ||| 9.99520230289e-06
BAR G4 B4 C5 BAR ||| C4 ||| 0.999530225492
G4 G4 G4 BAR ||| G4 ||| 0.529408174766
G4 G4 G4 BAR ||| F4 ||| 0.147057932532
G4 G4 G4 BAR ||| A4 ||| 0.294115718007
G4 G4 G4 BAR ||| C4 ||| 0.0147059256052
G4 G4 G4 BAR ||| C5 ||| 0.0147059256052
G4 G4 G4 BAR ||| <UNK> ||| 1.47057785474e-07
BAR B3 R B3 BAR ||| <UNK> ||| 4.99880028793e-06
BAR B3 R B3 BAR ||| C4 ||| 0.999765056386
F#4 E4 BAR A3 ||| D4 ||| 0.999530225492
F#4 E4 BAR A3 ||| <UNK> ||| 9.99520230289e-06
BAR R BAR R BAR ||| R ||| 0.999765056386
BAR R BAR R BAR ||| <UNK> ||| 4.99880028793e-06
F#4 D#4 E4 ||| D4 ||| 0.999530225492
F#4 D#4 E4 ||| <UNK> ||| 9.99520230289e-06
E4 A3 E4 BAR ||| E4 ||| 0.999530225492
E4 A3 E4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR D4 G4 G4 ||| G4 ||| 0.4999808341
BAR D4 G4 G4 ||| F4 ||| 0.166660833567
BAR D4 G4 G4 ||| B4 ||| 0.0833308334333
BAR D4 G4 G4 ||| A4 ||| 0.166660833567
BAR D4 G4 G4 ||| D4 ||| 0.0833308334333
BAR D4 G4 G4 ||| <UNK> ||| 8.33300001333e-07
A4 G4 F4 ||| G4 ||| 0.18749833335
A4 G4 F4 ||| F4 ||| 0.0416664583354
A4 G4 F4 ||| E4 ||| 0.666660208398
A4 G4 F4 ||| F#4 ||| 0.0624995833375
A4 G4 F4 ||| D4 ||| 0.0208333333333
A4 G4 F4 ||| <UNK> ||| 2.08331250021e-07
A4 G4 F4 ||| C4 ||| 0.0208333333333
BAR C4 A3 D4 ||| D4 ||| 0.999882514098
BAR C4 A3 D4 ||| <UNK> ||| 2.499700036e-06
B4 BAR G#4 R ||| B4 ||| 0.999765056386
B4 BAR G#4 R ||| <UNK> ||| 4.99880028793e-06
A4 A4 BAR D4 ||| E4 ||| 0.499885027593
A4 A4 BAR D4 ||| <UNK> ||| 4.99880028793e-06
A4 A4 BAR D4 ||| C4 ||| 0.499885027593
A3 BAR A3 F3 ||| F4 ||| 0.999530225492
A3 BAR A3 F3 ||| <UNK> ||| 9.99520230289e-06
D4 G4 A4 ||| D4 ||| 0.999765056386
D4 G4 A4 ||| <UNK> ||| 4.99880028793e-06
B3 BAR E4 G4 BAR ||| G4 ||| 0.999765056386
B3 BAR E4 G4 BAR ||| <UNK> ||| 4.99880028793e-06
BAR B3 G3 E4 BAR ||| D4 ||| 0.999530225492
BAR B3 G3 E4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR B4 B4 G4 ||| F#4 ||| 0.999530225492
BAR B4 B4 G4 ||| <UNK> ||| 9.99520230289e-06
A3 D4 BAR E4 ||| D4 ||| 0.666563349864
A3 D4 BAR E4 ||| F4 ||| 0.333283341332
A3 D4 BAR E4 ||| <UNK> ||| 3.33280008532e-06
BAR C4 R B3 BAR ||| <UNK> ||| 9.99520230289e-06
BAR C4 R B3 BAR ||| B3 ||| 0.999530225492
D5 A4 BAR F#4 ||| G4 ||| 0.999530225492
D5 A4 BAR F#4 ||| <UNK> ||| 9.99520230289e-06
G3 BAR A3 E4 ||| E4 ||| 0.499885027593
G3 BAR A3 E4 ||| D4 ||| 0.499885027593
G3 BAR A3 E4 ||| <UNK> ||| 4.99880028793e-06
C4 BAR B3 G3 ||| E4 ||| 0.2499725033
C4 BAR B3 G3 ||| A3 ||| 0.499942506899
C4 BAR B3 G3 ||| F3 ||| 0.2499725033
C4 BAR B3 G3 ||| <UNK> ||| 2.499700036e-06
E4 BAR E4 G#4 BAR ||| A4 ||| 0.999765056386
E4 BAR E4 G#4 BAR ||| <UNK> ||| 4.99880028793e-06
A4 BAR A4 B4 BAR ||| C5 ||| 0.999765056386
A4 BAR A4 B4 BAR ||| <UNK> ||| 4.99880028793e-06
F#4 BAR E4 G4 ||| C5 ||| 0.999530225492
F#4 BAR E4 G4 ||| <UNK> ||| 9.99520230289e-06
A3 A3 G#3 ||| <UNK> ||| 9.090512414e-07
A3 A3 G#3 ||| G#3 ||| 0.181811157331
A3 A3 G#3 ||| F#3 ||| 0.181811157331
A3 A3 G#3 ||| A3 ||| 0.454526529751
A3 A3 G#3 ||| C4 ||| 0.181811157331
BAR E4 A4 G4 ||| F4 ||| 0.411753668132
BAR E4 A4 G4 ||| G4 ||| 0.470575536691
BAR E4 A4 G4 ||| F#4 ||| 0.117644325337
BAR E4 A4 G4 ||| <UNK> ||| 5.8821868559e-07
G3 BAR C4 B-3 ||| A3 ||| 0.999530225492
G3 BAR C4 B-3 ||| <UNK> ||| 9.99520230289e-06
G4 BAR E4 A4 ||| F#4 ||| 0.999843358396
G4 BAR E4 A4 ||| <UNK> ||| 3.33280008532e-06
BAR F#4 B3 C4 ||| D4 ||| 0.999530225492
BAR F#4 B3 C4 ||| <UNK> ||| 9.99520230289e-06
G4 F4 D4 BAR ||| D4 ||| 0.333283341332
G4 F4 D4 BAR ||| <UNK> ||| 3.33280008532e-06
G4 F4 D4 BAR ||| C4 ||| 0.666563349864
BAR A3 C4 C4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR A3 C4 C4 BAR ||| C4 ||| 0.999530225492
E5 BAR D5 C5 BAR ||| C5 ||| 0.999530225492
E5 BAR D5 C5 BAR ||| <UNK> ||| 9.99520230289e-06
E3 BAR F3 G3 ||| A3 ||| 0.666615004133
E3 BAR F3 G3 ||| <UNK> ||| 1.666533344e-06
E3 BAR F3 G3 ||| C4 ||| 0.333308335333
F#3 C4 B3 ||| <UNK> ||| 9.99520230289e-06
F#3 C4 B3 ||| C4 ||| 0.999530225492
BAR G4 BAR F4 G4 ||| A4 ||| 0.999882514098
BAR G4 BAR F4 G4 ||| <UNK> ||| 2.499700036e-06
A4 G4 BAR A4 ||| G4 ||| 0.499983571992
A4 G4 BAR A4 ||| F4 ||| 0.142852959327
A4 G4 BAR A4 ||| G#4 ||| 0.142852959327
A4 G4 BAR A4 ||| D4 ||| 0.0714268367942
A4 G4 BAR A4 ||| C5 ||| 0.142852959327
A4 G4 BAR A4 ||| <UNK> ||| 7.14261225329e-07
BAR D-4 C4 C4 ||| D4 ||| 0.999530225492
BAR D-4 C4 C4 ||| <UNK> ||| 9.99520230289e-06
C4 BAR C4 C4 BAR ||| <UNK> ||| 4.99880028793e-06
C4 BAR C4 C4 BAR ||| B3 ||| 0.999765056386
BAR C#4 D4 C#4 BAR ||| D4 ||| 0.499885027593
BAR C#4 D4 C#4 BAR ||| A4 ||| 0.499885027593
BAR C#4 D4 C#4 BAR ||| <UNK> ||| 4.99880028793e-06
BAR F4 F4 G4 BAR ||| G4 ||| 0.999530225492
BAR F4 F4 G4 BAR ||| <UNK> ||| 9.99520230289e-06
G3 F3 D3 BAR ||| <UNK> ||| 9.99520230289e-06
G3 F3 D3 BAR ||| B3 ||| 0.999530225492
G4 BAR E5 D5 ||| D5 ||| 0.999530225492
G4 BAR E5 D5 ||| <UNK> ||| 9.99520230289e-06
BAR G3 BAR C4 C4 BAR ||| G3 ||| 0.999530225492
BAR G3 BAR C4 C4 BAR ||| <UNK> ||| 9.99520230289e-06
B4 G4 B4 BAR ||| C5 ||| 0.999530225492
B4 G4 B4 BAR ||| <UNK> ||| 9.99520230289e-06
G3 BAR G3 R ||| G3 ||| 0.999530225492
G3 BAR G3 R ||| <UNK> ||| 9.99520230289e-06
D5 D5 G4 BAR ||| F4 ||| 0.999765056386
D5 D5 G4 BAR ||| <UNK> ||| 4.99880028793e-06
G#4 A4 C4 ||| F4 ||| 0.999765056386
G#4 A4 C4 ||| <UNK> ||| 4.99880028793e-06
C4 D4 BAR D#4 ||| G4 ||| 0.999765056386
C4 D4 BAR D#4 ||| <UNK> ||| 4.99880028793e-06
E-4 D4 C#4 BAR ||| D4 ||| 0.999530225492
E-4 D4 C#4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR E4 D4 D4 BAR ||| D-4 ||| 0.0833308334333
BAR E4 D4 D4 BAR ||| B3 ||| 0.0833308334333
BAR E4 D4 D4 BAR ||| E4 ||| 0.166660833567
BAR E4 D4 D4 BAR ||| D4 ||| 0.333320833833
BAR E4 D4 D4 BAR ||| C4 ||| 0.333320833833
BAR E4 D4 D4 BAR ||| <UNK> ||| 8.33300001333e-07
D4 BAR C4 G4 BAR ||| G4 ||| 0.999765056386
D4 BAR C4 G4 BAR ||| <UNK> ||| 4.99880028793e-06
F#4 BAR G#4 A4 ||| E5 ||| 0.666563349864
F#4 BAR G#4 A4 ||| G4 ||| 0.333283341332
F#4 BAR G#4 A4 ||| <UNK> ||| 3.33280008532e-06
A3 D4 C4 BAR ||| <UNK> ||| 1.99980801843e-06
A3 D4 C4 BAR ||| B-3 ||| 0.199982801651
A3 D4 C4 BAR ||| D4 ||| 0.199982801651
A3 D4 C4 BAR ||| C4 ||| 0.199982801651
A3 D4 C4 BAR ||| B3 ||| 0.399963603494
BAR F#4 G4 A4 ||| B4 ||| 0.769203137115
BAR F#4 G4 A4 ||| G4 ||| 0.0769210059936
BAR F#4 G4 A4 ||| F#4 ||| 0.153841242785
BAR F#4 G4 A4 ||| <UNK> ||| 7.69202367913e-07
BAR C5 B4 ||| A4 ||| 0.749912510499
BAR C5 B4 ||| C5 ||| 0.2499725033
BAR C5 B4 ||| <UNK> ||| 2.499700036e-06
BAR E4 E4 E4 BAR ||| F4 ||| 0.0909060331913
BAR E4 E4 E4 BAR ||| R ||| 0.272716281471
BAR E4 E4 E4 BAR ||| A4 ||| 0.0909060331913
BAR E4 E4 E4 BAR ||| E4 ||| 0.272716281471
BAR E4 E4 E4 BAR ||| D4 ||| 0.181811157331
BAR E4 E4 E4 BAR ||| C5 ||| 0.0909060331913
BAR E4 E4 E4 BAR ||| <UNK> ||| 9.090512414e-07
D4 B4 G4 ||| A4 ||| 0.999530225492
D4 B4 G4 ||| <UNK> ||| 9.99520230289e-06
D4 BAR E4 D4 ||| G4 ||| 0.0142857591834
D4 BAR E4 D4 ||| C#4 ||| 0.0285713755106
D4 BAR E4 D4 ||| A4 ||| 0.057142608165
D4 BAR E4 D4 ||| E4 ||| 0.142856306128
D4 BAR E4 D4 ||| D4 ||| 0.114285073474
D4 BAR E4 D4 ||| <UNK> ||| 1.42856163272e-07
D4 BAR E4 D4 ||| C4 ||| 0.64285287758
BAR G3 G3 A3 BAR ||| A3 ||| 0.999530225492
BAR G3 G3 A3 BAR ||| <UNK> ||| 9.99520230289e-06
B3 D4 BAR C4 ||| <UNK> ||| 1.2499250045e-06
B3 D4 BAR C4 ||| D4 ||| 0.249986250825
B3 D4 BAR C4 ||| C4 ||| 0.374978751275
B3 D4 BAR C4 ||| B3 ||| 0.374978751275
D4 C4 G3 ||| A3 ||| 0.999530225492
D4 C4 G3 ||| <UNK> ||| 9.99520230289e-06
BAR E4 F4 E-4 ||| D4 ||| 0.999530225492
BAR E4 F4 E-4 ||| <UNK> ||| 9.99520230289e-06
BAR B3 BAR B3 C#4 ||| D#4 ||| 0.999530225492
BAR B3 BAR B3 C#4 ||| <UNK> ||| 9.99520230289e-06
B4 BAR B4 C5 ||| B4 ||| 0.666563349864
B4 BAR B4 C5 ||| C5 ||| 0.333283341332
B4 BAR B4 C5 ||| <UNK> ||| 3.33280008532e-06
BAR A3 BAR G3 F3 ||| E3 ||| 0.999530225492
BAR A3 BAR G3 F3 ||| <UNK> ||| 9.99520230289e-06
E4 BAR G4 F4 ||| E4 ||| 0.749912510499
E4 BAR G4 F4 ||| F4 ||| 0.2499725033
E4 BAR G4 F4 ||| <UNK> ||| 2.499700036e-06
BAR E4 D4 G#3 BAR ||| E4 ||| 0.999530225492
BAR E4 D4 G#3 BAR ||| <UNK> ||| 9.99520230289e-06
A4 D5 B4 BAR ||| A4 ||| 0.999530225492
A4 D5 B4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR E4 G4 D4 ||| <UNK> ||| 9.99520230289e-06
BAR E4 G4 D4 ||| C4 ||| 0.999530225492
B3 B3 E4 BAR ||| E4 ||| 0.666563349864
B3 B3 E4 BAR ||| D4 ||| 0.333283341332
B3 B3 E4 BAR ||| <UNK> ||| 3.33280008532e-06
C4 BAR D4 C4 BAR ||| <UNK> ||| 3.33280008532e-06
C4 BAR D4 C4 BAR ||| D4 ||| 0.333283341332
C4 BAR D4 C4 BAR ||| C4 ||| 0.333283341332
C4 BAR D4 C4 BAR ||| B3 ||| 0.333283341332
BAR F4 C4 BAR B3 ||| E4 ||| 0.999530225492
BAR F4 C4 BAR B3 ||| <UNK> ||| 9.99520230289e-06
F#4 G4 G4 ||| G4 ||| 0.142848776084
F#4 G4 G4 ||| F#4 ||| 0.857085514136
F#4 G4 G4 ||| <UNK> ||| 1.4284734761e-06
BAR G4 G#4 BAR E4 ||| D4 ||| 0.999530225492
BAR G4 G#4 BAR E4 ||| <UNK> ||| 9.99520230289e-06
F#4 G4 A4 ||| B4 ||| 0.52939740525
F#4 G4 A4 ||| G4 ||| 0.235288062455
F#4 G4 A4 ||| F#4 ||| 0.117644325337
F#4 G4 A4 ||| A4 ||| 0.117644325337
F#4 G4 A4 ||| <UNK> ||| 5.8821868559e-07
BAR G3 F3 E3 ||| F3 ||| 0.999765056386
BAR G3 F3 E3 ||| <UNK> ||| 4.99880028793e-06
BAR G4 A4 D#4 ||| E4 ||| 0.999530225492
BAR G4 A4 D#4 ||| <UNK> ||| 9.99520230289e-06
D4 BAR D4 E4 BAR ||| G4 ||| 0.999530225492
D4 BAR D4 E4 BAR ||| <UNK> ||| 9.99520230289e-06
A4 F#4 B4 BAR ||| A4 ||| 0.999765056386
A4 F#4 B4 BAR ||| <UNK> ||| 4.99880028793e-06
E4 C4 D4 BAR ||| C#4 ||| 0.199991400413
E4 C4 D4 BAR ||| E4 ||| 0.599972201334
E4 C4 D4 BAR ||| <UNK> ||| 9.99952002304e-07
E4 C4 D4 BAR ||| C4 ||| 0.199991400413
B3 B3 BAR B3 ||| B-3 ||| 0.142848776084
B3 B3 BAR B3 ||| A3 ||| 0.428543471305
B3 B3 BAR B3 ||| B3 ||| 0.142848776084
B3 B3 BAR B3 ||| E4 ||| 0.142848776084
B3 B3 BAR B3 ||| C4 ||| 0.142848776084
B3 B3 BAR B3 ||| <UNK> ||| 1.4284734761e-06
C5 C5 E5 ||| A4 ||| 0.999530225492
C5 C5 E5 ||| <UNK> ||| 9.99520230289e-06
A3 A3 A3 BAR ||| G3 ||| 0.2499908337
A3 A3 A3 BAR ||| G#3 ||| 0.166660833567
A3 A3 A3 BAR ||| B-3 ||| 0.0833308334333
A3 A3 A3 BAR ||| A3 ||| 0.416650833967
A3 A3 A3 BAR ||| B3 ||| 0.0833308334333
A3 A3 A3 BAR ||| <UNK> ||| 8.33300001333e-07
F#3 D3 F3 BAR ||| G3 ||| 0.999530225492
F#3 D3 F3 BAR ||| <UNK> ||| 9.99520230289e-06
G4 F4 BAR E4 BAR ||| <UNK> ||| 7.69202367913e-07
G4 F4 BAR E4 BAR ||| E4 ||| 0.384601953159
G4 F4 BAR E4 BAR ||| R ||| 0.0769210059936
G4 F4 BAR E4 BAR ||| G4 ||| 0.307681716367
G4 F4 BAR E4 BAR ||| C4 ||| 0.230761479576
B4 BAR B4 B4 ||| A4 ||| 0.999882514098
B4 BAR B4 B4 ||| <UNK> ||| 2.499700036e-06
BAR G4 BAR A4 A4 BAR ||| G4 ||| 0.999765056386
BAR G4 BAR A4 A4 BAR ||| <UNK> ||| 4.99880028793e-06
C5 BAR D5 G4 ||| G4 ||| 0.199982801651
C5 BAR D5 G4 ||| F4 ||| 0.199982801651
C5 BAR D5 G4 ||| A4 ||| 0.399963603494
C5 BAR D5 G4 ||| C5 ||| 0.199982801651
C5 BAR D5 G4 ||| <UNK> ||| 1.99980801843e-06
G4 BAR C4 G4 ||| G4 ||| 0.499942506899
G4 BAR C4 G4 ||| F#4 ||| 0.499942506899
G4 BAR C4 G4 ||| <UNK> ||| 2.499700036e-06
BAR C4 C4 BAR ||| <UNK> ||| 9.99520230289e-06
BAR C4 C4 BAR ||| B3 ||| 0.999530225492
BAR A3 E4 D4 ||| C#4 ||| 0.2499725033
BAR A3 E4 D4 ||| A3 ||| 0.2499725033
BAR A3 E4 D4 ||| <UNK> ||| 2.499700036e-06
BAR A3 E4 D4 ||| C4 ||| 0.499942506899
B4 R BAR R ||| B4 ||| 0.333283341332
B4 R BAR R ||| G#4 ||| 0.666563349864
B4 R BAR R ||| <UNK> ||| 3.33280008532e-06
C4 C4 C4 ||| B-3 ||| 0.181811157331
C4 C4 C4 ||| D4 ||| 0.454526529751
C4 C4 C4 ||| <UNK> ||| 9.090512414e-07
C4 C4 C4 ||| B3 ||| 0.363621405611
C5 D5 D5 BAR ||| <UNK> ||| 1.99980801843e-06
C5 D5 D5 BAR ||| G4 ||| 0.199982801651
C5 D5 D5 BAR ||| C5 ||| 0.599944405337
C5 D5 D5 BAR ||| D5 ||| 0.199982801651
G#4 BAR E4 A4 BAR ||| B4 ||| 0.333283341332
G#4 BAR E4 A4 BAR ||| A4 ||| 0.666563349864
G#4 BAR E4 A4 BAR ||| <UNK> ||| 3.33280008532e-06
B4 C#5 R BAR ||| R ||| 0.999530225492
B4 C#5 R BAR ||| <UNK> ||| 9.99520230289e-06
A4 A3 E4 BAR ||| <UNK> ||| 9.99520230289e-06
A4 A3 E4 BAR ||| C4 ||| 0.999530225492
F4 E4 B4 BAR ||| E4 ||| 0.999530225492
F4 E4 B4 BAR ||| <UNK> ||| 9.99520230289e-06
C5 A4 A4 ||| G4 ||| 0.499885027593
C5 A4 A4 ||| G#4 ||| 0.499885027593
C5 A4 A4 ||| <UNK> ||| 4.99880028793e-06
G3 G3 BAR C4 ||| <UNK> ||| 9.99520230289e-06
G3 G3 BAR C4 ||| C4 ||| 0.999530225492
BAR G#3 BAR ||| A3 ||| 0.999530225492
BAR G#3 BAR ||| <UNK> ||| 9.99520230289e-06
BAR B4 C5 D5 ||| B4 ||| 0.166660833567
BAR B4 C5 D5 ||| E5 ||| 0.166660833567
BAR B4 C5 D5 ||| G4 ||| 0.166660833567
BAR B4 C5 D5 ||| C5 ||| 0.4999808341
BAR B4 C5 D5 ||| <UNK> ||| 8.33300001333e-07
BAR G4 BAR A4 B4 ||| C5 ||| 0.999530225492
BAR G4 BAR A4 B4 ||| <UNK> ||| 9.99520230289e-06
F4 E4 BAR F#4 ||| <UNK> ||| 4.99880028793e-06
